time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,25,8,0,0
2026-06-02 00:00:00+00:00,14,5,0,0
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,7,3,0,0
2026-06-05 00:00:00+00:00,6,2,0,0
2026-06-06 00:00:00+00:00,20,7,0,0
2026-06-07 00:00:00+00:00,20,7,0,0
2026-06-08 00:00:00+00:00,20,7,0,0
2026-06-09 00:00:00+00:00,33,12,0,0
2026-06-10 00:00:00+00:00,12,4,0,0
2026-06-11 00:00:00+00:00,14,5,0,0
2026-06-12 00:00:00+00:00,31,9,0,0
2026-06-13 00:00:00+00:00,21,8,0,0
2026-06-14 00:00:00+00:00,26,8,0,0
